iter	R2	RMSE
0	0.0723197273	0.1369370926
1	0.1379902586	0.1320012455
2	0.1972594785	0.1273824317
3	0.2509745635	0.1230467721
4	0.2995161628	0.118992887
5	0.3432106105	0.115221893
6	0.3826190703	0.1117116708
7	0.4183131998	0.1084342666
8	0.4571457269	0.1047523012
9	0.4926688614	0.1012669434
10	0.5248528214	0.09800224388
11	0.5536042042	0.09499089726
12	0.580521297	0.09208245731
13	0.6047109188	0.08938802694
14	0.6262726551	0.08691592967
15	0.6461261022	0.084575818
16	0.6642416328	0.08238257534
17	0.6807258756	0.08033481601
18	0.6952923385	0.07848083754
19	0.7087153139	0.07673275097
20	0.7207680071	0.07512846751
21	0.7318077324	0.07362835001
22	0.7421002439	0.07220169744
23	0.7514239412	0.07088455072
24	0.7629723372	0.06921838453
25	0.7733080459	0.06769241295
26	0.7828753262	0.06624857355
27	0.7912646638	0.06495609824
28	0.799992337	0.06358362143
29	0.8073616535	0.0624012534
30	0.8139930798	0.06131778991
31	0.8200144762	0.06031713853
32	0.8253370635	0.05941858712
33	0.8299491697	0.05862884256
34	0.8346071722	0.0578202917
35	0.839099772	0.05702959296
36	0.8430321091	0.05632839199
37	0.8465315365	0.05569696295
38	0.8502993602	0.05500900256
39	0.8533046977	0.05445403238
40	0.855935836	0.05396347691
41	0.858600075	0.05346216373
42	0.8606570657	0.05307187337
43	0.8627535302	0.05267111759
44	0.8652303275	0.05219369322
45	0.8671240475	0.05182569531
46	0.8686999579	0.05151745196
47	0.8702057	0.05122120041
48	0.8717506847	0.05091543631
49	0.8731205888	0.05064277782
50	0.874412197	0.05038435157
51	0.875799708	0.05010525198
52	0.8774182451	0.04977770383
53	0.87879764	0.04949684078
54	0.8800125446	0.04924814352
55	0.8810674246	0.04903118097
56	0.8821594771	0.0488055569
57	0.8831977121	0.04859008031
58	0.8842105104	0.04837895819
59	0.8850674798	0.04819959698
60	0.8858720912	0.04803058452
61	0.8866250761	0.04787187594
62	0.8873712932	0.04771407302
63	0.888038898	0.04757245065
64	0.8887878612	0.04741306582
65	0.8895241023	0.04725586441
66	0.8901340317	0.04712523576
67	0.8906691635	0.04701032758
68	0.8913968462	0.04685362104
69	0.8919075626	0.04674332448
70	0.8923488476	0.04664781261
71	0.8928115928	0.04654744535
72	0.8932301487	0.04645647581
73	0.8935501015	0.04638681647
74	0.8939693807	0.04629537338
75	0.8942471724	0.04623468853
76	0.8947196723	0.04613128543
77	0.8950551429	0.04605772923
78	0.8955057544	0.04595874168
79	0.8961059696	0.04582655804
80	0.8964099169	0.04575947496
81	0.8967253209	0.04568975919
82	0.8970787627	0.04561150909
83	0.8974163532	0.0455366428
84	0.8976464631	0.04548554151
85	0.8978653016	0.04543688997
86	0.8984046815	0.04531675358
87	0.898597986	0.04527362117
88	0.8995750288	0.04505497986
89	0.9000411933	0.04495028747
90	0.9003023918	0.04489152012
91	0.900970935	0.04474075221
92	0.9016593607	0.04458496764
93	0.9020249101	0.04450202541
94	0.9022699645	0.04444633654
95	0.9023964638	0.04441756211
96	0.9025508991	0.04438240788
97	0.9027548596	0.04433593747
98	0.9029870658	0.04428297218
99	0.9031394032	0.04424819021
100	0.9032652776	0.04421942967
101	0.9034857769	0.04416900355
102	0.903743857	0.04410990981
103	0.9039294928	0.04406735497
104	0.9041170502	0.04402431785
105	0.9042172323	0.04400131271
106	0.9044532303	0.04394707213
107	0.9045965621	0.04391409677
108	0.9047197955	0.0438857255
109	0.9048452293	0.04385682882
110	0.9049012335	0.04384392074
111	0.9051607771	0.04378405044
112	0.9053002972	0.04375183273
113	0.9053875578	0.04373167063
114	0.9055542629	0.0436931265
115	0.9057872255	0.04363920587
116	0.9058923818	0.04361484497
117	0.9060244125	0.04358423893
118	0.9062652544	0.04352835398
119	0.9065326611	0.04346622072
120	0.9065766465	0.043455992
121	0.9069812325	0.04336179305
122	0.9074543502	0.04325137778
123	0.9074930822	0.0432423261
124	0.9075912574	0.04321937403
125	0.9076885639	0.04319661303
126	0.9078765615	0.0431526044
127	0.9081717639	0.04308340934
128	0.9083094894	0.0430510886
129	0.9083157138	0.04304962733
130	0.908400176	0.04302979347
